kanji,oc_family_first,oc_family_other,oc_family_last,oc_given_first,oc_given_other,oc_given_last,lc_family_1,lc_family_2,lc_family_3,lc_family_4,lc_given_1,lc_given_2,lc_given_3,lc_given_4
々,0,275,9,0,14,25,0,7,276,1,0,23,16,0
ツ,0,10,0,0,4,0,0,0,10,0,0,0,4,0
ノ,1,33,0,0,0,0,0,0,32,2,0,0,0,0
ヶ,0,21,0,0,0,0,0,0,21,0,0,0,0,0
一,51,0,4,618,560,1823,0,44,11,0,32,2401,568,0
七,12,0,0,20,1,3,0,10,0,2,1,20,3,0
万,2,0,0,36,0,2,0,2,0,0,0,16,22,0
丈,0,0,0,30,0,15,0,0,0,0,0,44,1,0
三,545,2,0,116,47,205,0,504,41,2,0,254,114,0
上,413,0,738,1,0,1,5,1110,36,0,1,1,0,0
下,166,14,524,0,0,0,0,662,41,1,0,0,0,0
不,6,1,0,4,0,0,0,5,2,0,0,2,2,0
与,5,1,2,7,4,3,0,5,3,0,0,4,10,0
世,5,1,10,12,22,87,0,13,3,0,0,85,36,0
並,27,0,10,1,0,0,0,37,0,0,0,1,0,0
中,1603,8,687,0,1,4,7,2259,31,1,4,0,1,0
串,4,0,9,0,0,0,0,13,0,0,0,0,0,0
丸,132,0,73,0,0,2,2,194,9,0,0,2,0,0
丹,52,0,5,1,0,0,1,55,1,0,0,1,0,0
主,1,0,5,9,0,0,0,6,0,0,0,9,0,0
乃,2,0,0,10,5,77,0,2,0,0,0,73,18,1
久,271,169,30,328,26,295,1,209,260,0,12,456,181,0
之,0,39,0,4,49,1076,0,0,38,1,1,1079,48,1
乙,8,2,0,5,0,0,0,8,2,0,0,4,1,0
九,6,0,0,4,2,0,0,5,1,0,0,2,4,0
也,0,0,1,0,14,882,0,1,0,0,0,881,15,0
乾,11,0,0,3,0,1,11,0,0,0,1,2,1,0
亀,61,0,8,2,1,0,1,67,1,0,0,2,1,0
了,1,0,0,8,0,2,0,1,0,0,0,10,0,0
予,0,0,0,0,3,8,0,0,0,0,0,7,4,0
二,66,0,2,28,77,565,0,51,17,0,0,588,82,0
五,113,2,1,26,5,8,0,26,86,4,0,30,9,0
井,458,23,1959,1,0,0,0,2358,81,1,0,0,1,0
亘,2,0,0,2,0,27,2,0,0,0,23,6,0,0
亜,1,0,0,299,7,7,0,1,0,0,0,118,195,0
亨,0,0,0,7,0,39,0,0,0,0,38,8,0,0
享,0,0,0,16,0,8,0,0,0,0,6,18,0,0
京,13,0,2,79,0,4,0,15,0,0,2,78,3,0
亮,0,0,0,124,0,154,0,0,0,0,91,185,2,0
人,8,0,5,1,0,607,0,13,0,0,0,602,6,0
仁,18,0,3,132,9,204,0,20,1,0,67,267,11,0
今,264,1,0,5,0,0,3,255,7,0,0,0,5,0
介,0,0,0,1,0,650,0,0,0,0,0,629,22,0
仙,13,0,1,1,0,0,0,13,1,0,0,1,0,0
代,3,3,73,2,164,538,0,74,5,0,0,439,265,0
令,0,0,0,12,3,3,0,0,0,0,2,13,3,0
仲,61,0,14,1,0,3,3,69,3,0,1,3,0,0
伊,562,0,0,26,2,2,0,534,28,0,0,10,19,1
伏,8,0,10,0,0,0,0,17,1,0,0,0,0,0
伯,1,2,33,1,0,0,0,34,1,1,0,1,0,0
伴,10,0,1,9,0,1,9,2,0,0,0,10,0,0
伸,0,0,0,264,0,97,0,0,0,0,17,329,15,0
住,23,1,30,1,1,0,2,49,3,0,0,1,1,0
佐,1112,25,25,120,71,22,0,849,313,0,0,39,174,0
佑,0,0,0,75,4,41,0,0,0,0,2,106,12,0
余,4,0,1,0,2,3,0,5,0,0,0,3,2,0
作,12,0,5,3,0,74,0,17,0,0,0,76,1,0
佳,0,0,0,375,59,199,0,0,0,0,2,486,145,0
侑,0,0,0,13,1,0,0,0,0,0,0,13,1,0
依,17,0,0,12,9,13,0,17,0,0,0,22,12,0
俊,1,0,1,531,0,149,0,2,0,0,21,648,11,0
